,questions,answers
24,What is your refund policy?,"All confirmed purchases of CashBet Coin are final and non-refundable. By purchasing CashBet Coin, you acknowledge that neither CashBet nor any of its affiliates are required to provide a refund for any reason and that you will not receive money, cryptocurrency, or other consideration for any CashBet Coin that remains unused. In the event that you fail to meet of any of eligibility criteria for participating in the CashBet Coin sale and your purchase has not been confirmed, we retain the right, in our sole discretion, to decline your request for a refund. Should we determine, in our sole discretion, to provide you with a refund because you fail to meet of any of eligibility criteria for participating in the CashBet Coin sale, we shall not be liable for any conversion, exchange, or other rate changes that may occur prior to processing the refund. Digital currencies, tokens, and digital assets are, by their nature, generally irreversible, and their exchange rates are highly volatile and transitory."
25,Will you have an escrow?,"No, we have opted not to use an escrow service."
26,What is your KYC (“Know Your Customer”) process?,"Protecting our investors is critical, and we take it very seriously. There will be a KYC process for this reason, and to ensure Anti-Money Laundering (AML) compliance. Here is what you can expect during the sale process: https://medium.com/@CashBetCoin/cashbet-coin-token-sale-whitelist-process-fc732bc1f8d6"
27,I did not receive an email to verify my account and I cannot login?,You will need to go to https://ico.cashbet.com/users/sign_in and click the “Remind” Link in the Forgot password Remind dialog. A new email will be sent to you. Make sure you click the verification link.
28,I can’t login to the https://ico.cashbet.com site. What should I do?,We have seen issues where bad WIFI or a network firewall has stopped connection to our page. Please try another wifi connection or network and see if that helps. Make sure any network you connect from is secure.
29,I have not received my Verification email and I cannot login to the system.  What can I do?,First check and see if the email went to your Spam or Junk mail folder. You will need to verify your account before you can do anything else. You need to make sure that you use a valid email. If you do not get the email then you may have an incorrect address. We have no way to send a new verification email. You may need to create a new email account and sign up for the site again.
30,I am getting a message to download a Google app for 2 factor authentication. Is this ok?,The https://ico.cashbet.com site allows for 2 factor authentication. You will need to download this plugin for it to work https://play.google.com/store/apps/details?id=com.google.android.apps.authenticator2&hl=en.
31,I am getting a NOT CheckSummed Error when I add my ERC-20 wallet address. What do I do?,"Please check your wallet address entry, which is case sensitive. See here for more information: https://myetherwallet.github.io/knowledge-base/addresses/not-checksummed-shows-when-i-enter-an-address.html"
32,My ERC-20 Wallet Address disappeared in my Dashboard on https://ico.cashbet.com. What can I do?,This is for protection. If you want to see your wallet address you will need to click the Profile link at the top of the page. It will open you profile where you can view and update your wallet address.
33,My ETH/ETC/BTC/BTH/LTC is taking a long time to transfer to my account.  What should I do?,Crypto currency transfers can take a while depending on the blockchain network. We require upwards of 30 confirmations before we list your transaction in your account. You may need to refresh your browser to see the funds in your account. If you believe you have an issue with the transfer you can either talk directly with a CashBet admin or send an email to
34,When will I receive my tokens?,CashBet will be distributing CashBet Coin within two weeks after completion of the ICO.
35,Where and how should I store my CashBet Coin?,You can store CashBet Coin in your CashBet casino account or in any Ethereum wallet. Top recommendations include: MyEtherWallet (https://www.myetherwallet.com/) MetaMask (Firefox/Chrome browser add-on) Mist (Desktop) Parity (Desktop) Ledger (Hardware wallet) imToken (iPhone/Android) Eidoo (iPhone/Android)
36,Can I use a hardware crypto wallet for CashBet Coin?,You can use any ERC-20 compatible wallet. However that being said we encourage everyone to research their hardware wallets capability.
37,Can I transfer CashBet Coin from a CashBet account?,"Yes, you can deposit your CashBet Coin in an Ethereum wallet, such as Myetherwallet."
38,How secure are CashBet Coin transfers?,"We take CashBet Coin security very seriously. Payments in cryptocurrencies are secured by blockchain technology. Payments in fiat currency are accepted only via a wire transfer, which relies on international banking best practices."
39,Does CashBet Coin comply with the ERC20 standard? Can I transfer it to a third-party ETH wallet?,"Yes, it does. And yes, you can."
40,I've never heard of your company. Who are you?,"CashBet was founded in 2012 by gaming industry veterans and is the only mobile-first platform currently in the market for real-money, social, lottery, and skill-based gaming. The team has previous experience successfully building and selling online gaming platforms for CyberArts (Ultimate Gaming) and US Digital Gaming. The CashBet platform allows operators to run an iGaming business end-to-end, enabling robust game management, marketing, customer relationship management, support, and data analytics. CashBet is licensed by the Alderney Gambling Control Commission and the UK Gambling Commission."
41,What's the deal with the partnership with Arsenal Football Club? Is this legit?,"Yes, we’re excited and proud to say we are the exclusive and official cryptocurrency and blockchain partner for Arsenal Football Club. Arsenal is a forward thinking, innovative sports club, and this deal serves as a signal of their thought leadership in embracing cryptocurrency and blockchain as technologies that are here to stay. Please see Arsenal’s official announcement of the partnership here on their website: https://www.arsenal.com/news/club-welcomes-cashbet-coin-new-partner. We’re also listed on their Partners page here: https://www.arsenal.com/the-club/sponsors-partners."
42,How long has CashBet been in the market?,"We launched in 2012. We are a profitable business, with a patented iGaming software platform that’s in use by iGaming operators around the world."
43,Do you have an existing product? What is it?,"Launched in 2012, CashBet is a complete, mobile-first iGaming platform with an established, profitable presence in regulated gaming markets. We offer a complete software solution that enables operators to run a legal and profitable iGaming business end-to-end. There are tens of thousands of registered players, millions of Pounds Sterling wagered, gaming licenses in multiple jurisdictions, and customers from all facets of iGaming (real-money, social, and skill-based) from around the world using CashBet. You can learn more about our platform here: https://www.cashbet.com/platform/"
44,What is your key product offering?,"A software solution that allows operators and game developers to legally offer online real-money gaming without the need for licensing. CashBet platform operators use player segmentation, bonusing, campaign management, and other patent-pending CashBet features to enable a profitable iGaming operation from day one."
45,What is your business model? How do you monetize?,"We have three primary revenue streams: (1) licensing our iGaming platform to digital operators, (2) revenue share on royalties from digital operators who license our platform, and (3) professional service fees for custom development."
46,What are your company revenues/profits?,"CashBet is a privately held company. We do not publicly disclose financials. That said, if you would like to sign and NDA, please email"
47,How many people are on your team?,"We have 30 employees across engineering and development, business development, marketing and customer support. Our leadership includes veterans of the regulated, online gambling industry with many years of successful operation"
48,Why has your company decided to do an ICO?,"Mobile gaming and cryptocurrency are two of the fastest growing, demand-driven markets in the world today. CashBet is merging these technologies and expanding our reach to service crypto casinos with a player-centric solution by offering CashBet Coin, which will improve trust, speed and cost. By leveraging blockchain technology, we increase transaction speed and scalability, provide greater transparency to instill player trust, and reduce transaction costs. By issuing our own CashBet Coin token, we aim to open up worldwide access to premium iGaming entertainment that’s provably fair, fast and flexible CashBet is the only complete, crypto-ready, mobile-first iGaming platform with an established, profitable presence in regulated gaming markets. We invite you to read our whitepaper to learn more: https://coin.cashbet.com/whitepaper"
49,Does the CashBet platform support Sports Betting?,"Our future plans are to make CashBet Coin a token in all areas of digital wagering. At this time we do not have a sports betting offering. We would just need to integrate sports betting into our CashBet licenced platform. The CashBet iGaming platform is a licensable B2B enterprise software that enables operators to run a legal, profitable iGaming business. The patented platform can be applied to power real money, casino, social, eSports, sports betting and lottery games."
50,Where can I find CashBet-powered sites or apps?,"CashBet powers over 450 games. To see some examples of feature apps & websites, visit:  We’ll be adding more featured games here soon!"
51,Do you have any Videos talking about your product?,https://www.youtube.com/embed/KZfw2G7u1aY?feature=oembed
52,Are there any references to your company in media?,"Yes, please visit https://coin.cashbet.com/media-coverage/"
53,Where are you based/located?,"CashBet is based in Alderney and its parent company, Mobile Gaming Technologies, Inc., is based in Oakland, California."
